id,y
0,0.003087581422289254
1,9.037780232718504e-14
2,0.03223516212347022
3,0.09270098080767979
4,0.9796036831461467
5,0.2855596638219372
6,0.3002848110077056
7,0.0005351565900739005
8,0.010225778545226114
9,1.7203043907759113e-05
10,0.5978246123039722
11,0.9239793375867312
12,0.031046827598002313
13,0.2449272955127526
14,1.0
15,0.5994854554073308
16,0.6497216818014069
17,0.9999998915195465
18,0.5498247129726224
19,0.9995892787240243
20,1.0
21,0.9999783824790608
22,0.13848792093482534
23,0.5908479306327049
24,0.9999931843384452
25,0.06474908872954481
26,0.42151008975148824
27,0.9962993737148202
28,9.384521056547477e-09
29,0.9995598459243774
30,1.0
31,0.09724292743623408
32,0.019640262198237782
33,4.286780584285644e-10
34,0.8387000192370679
35,0.8297789593495609
36,0.8151249095678256
37,0.0002720527443589241
38,0.4240266421467345
39,0.20964978721523503
40,0.9999646251755101
41,0.1764017802546606
42,0.0009313868829583289
43,0.9999995990232988
44,0.9988380819559097
45,9.820379963412703e-05
46,0.9999648514001266
47,0.45275289434276866
48,0.7580330827873291
49,0.9001277425338196
50,0.8506273757694265
51,1.0
52,0.2941996295843793
53,0.44749547450143534
54,1.8534966974951112e-05
55,0.1615673219293711
56,0.9999023553999987
57,0.539141293537541
58,0.9198088054644501
59,1.0
60,0.054922496077509736
61,0.3453069763200512
62,1.0
63,0.9997501981755098
64,0.6887395225985106
65,3.953669094314917e-08
66,0.7545090192063174
67,1.0
68,0.9999999076547758
